asc_name	sim_name	asc_MAC	asc_MAF	asc_maxsites	asc_seed
threepop_LARGE_rep1_seq	threepop_LARGE_rep1	1	0.0	5000000	85423
threepop_LARGE_rep1_arr	threepop_LARGE_rep1	1	0.05	5000000	43639
threepop_LARGE_rep2_seq	threepop_LARGE_rep2	1	0.0	5000000	43920
threepop_LARGE_rep2_arr	threepop_LARGE_rep2	1	0.05	5000000	85504
threepop_LARGE_rep3_seq	threepop_LARGE_rep3	1	0.0	5000000	69958
threepop_LARGE_rep3_arr	threepop_LARGE_rep3	1	0.05	5000000	27228
threepop_LARGE_rep4_seq	threepop_LARGE_rep4	1	0.0	5000000	29345
threepop_LARGE_rep4_arr	threepop_LARGE_rep4	1	0.05	5000000	9647
fourpop_rep1_seq	fourpop_rep1	1	0.0	5000000	44603
fourpop_rep1_arr	fourpop_rep1	1	0.05	5000000	30374
fourpop_rep2_seq	fourpop_rep2	1	0.0	5000000	66148
fourpop_rep2_arr	fourpop_rep2	1	0.05	5000000	60703
fourpop_rep3_seq	fourpop_rep3	1	0.0	5000000	90255
fourpop_rep3_arr	fourpop_rep3	1	0.05	5000000	70404
fourpop_rep4_seq	fourpop_rep4	1	0.0	5000000	8771
fourpop_rep4_arr	fourpop_rep4	1	0.05	5000000	45581
twopop_variable_gen100_x1_seq	twopop_variable_gen100_x1	1	0.0	5000000	93763
twopop_variable_gen100_x1_arr	twopop_variable_gen100_x1	1	0.05	5000000	78340
twopop_uniform_gen100_x1_seq	twopop_uniform_gen100_x1	1	0.0	5000000	50472
twopop_uniform_gen100_x1_arr	twopop_uniform_gen100_x1	1	0.05	5000000	33416
twopop_variable_gen100_x2_seq	twopop_variable_gen100_x2	1	0.0	5000000	7933
twopop_variable_gen100_x2_arr	twopop_variable_gen100_x2	1	0.05	5000000	96165
twopop_uniform_gen100_x2_seq	twopop_uniform_gen100_x2	1	0.0	5000000	9009
twopop_uniform_gen100_x2_arr	twopop_uniform_gen100_x2	1	0.05	5000000	11449
twopop_variable_gen100_x3_seq	twopop_variable_gen100_x3	1	0.0	5000000	76410
twopop_variable_gen100_x3_arr	twopop_variable_gen100_x3	1	0.05	5000000	63010
twopop_uniform_gen100_x3_seq	twopop_uniform_gen100_x3	1	0.0	5000000	32109
twopop_uniform_gen100_x3_arr	twopop_uniform_gen100_x3	1	0.05	5000000	23383
twopop_variable_gen100_x4_seq	twopop_variable_gen100_x4	1	0.0	5000000	96900
twopop_variable_gen100_x4_arr	twopop_variable_gen100_x4	1	0.05	5000000	82105
twopop_uniform_gen100_x4_seq	twopop_uniform_gen100_x4	1	0.0	5000000	49716
twopop_uniform_gen100_x4_arr	twopop_uniform_gen100_x4	1	0.05	5000000	50086
twopop_variable_gen200_x1_seq	twopop_variable_gen200_x1	1	0.0	5000000	77116
twopop_variable_gen200_x1_arr	twopop_variable_gen200_x1	1	0.05	5000000	9057
twopop_uniform_gen200_x1_seq	twopop_uniform_gen200_x1	1	0.0	5000000	85273
twopop_uniform_gen200_x1_arr	twopop_uniform_gen200_x1	1	0.05	5000000	20243
twopop_variable_gen200_x2_seq	twopop_variable_gen200_x2	1	0.0	5000000	72163
twopop_variable_gen200_x2_arr	twopop_variable_gen200_x2	1	0.05	5000000	68349
twopop_uniform_gen200_x2_seq	twopop_uniform_gen200_x2	1	0.0	5000000	50509
twopop_uniform_gen200_x2_arr	twopop_uniform_gen200_x2	1	0.05	5000000	34255
twopop_variable_gen200_x3_seq	twopop_variable_gen200_x3	1	0.0	5000000	55310
twopop_variable_gen200_x3_arr	twopop_variable_gen200_x3	1	0.05	5000000	5835
twopop_uniform_gen200_x3_seq	twopop_uniform_gen200_x3	1	0.0	5000000	30147
twopop_uniform_gen200_x3_arr	twopop_uniform_gen200_x3	1	0.05	5000000	40898
twopop_variable_gen200_x4_seq	twopop_variable_gen200_x4	1	0.0	5000000	44704
twopop_variable_gen200_x4_arr	twopop_variable_gen200_x4	1	0.05	5000000	73686
twopop_uniform_gen200_x4_seq	twopop_uniform_gen200_x4	1	0.0	5000000	7921
twopop_uniform_gen200_x4_arr	twopop_uniform_gen200_x4	1	0.05	5000000	91699
twopop_variable_gen400_x1_seq	twopop_variable_gen400_x1	1	0.0	5000000	16695
twopop_variable_gen400_x1_arr	twopop_variable_gen400_x1	1	0.05	5000000	26117
twopop_uniform_gen400_x1_seq	twopop_uniform_gen400_x1	1	0.0	5000000	40825
twopop_uniform_gen400_x1_arr	twopop_uniform_gen400_x1	1	0.05	5000000	95939
twopop_variable_gen400_x2_seq	twopop_variable_gen400_x2	1	0.0	5000000	40619
twopop_variable_gen400_x2_arr	twopop_variable_gen400_x2	1	0.05	5000000	3088
twopop_uniform_gen400_x2_seq	twopop_uniform_gen400_x2	1	0.0	5000000	16127
twopop_uniform_gen400_x2_arr	twopop_uniform_gen400_x2	1	0.05	5000000	30602
twopop_variable_gen400_x3_seq	twopop_variable_gen400_x3	1	0.0	5000000	21448
twopop_variable_gen400_x3_arr	twopop_variable_gen400_x3	1	0.05	5000000	90837
twopop_uniform_gen400_x3_seq	twopop_uniform_gen400_x3	1	0.0	5000000	24529
twopop_uniform_gen400_x3_arr	twopop_uniform_gen400_x3	1	0.05	5000000	49500
twopop_variable_gen400_x4_seq	twopop_variable_gen400_x4	1	0.0	5000000	66392
twopop_variable_gen400_x4_arr	twopop_variable_gen400_x4	1	0.05	5000000	33891
twopop_uniform_gen400_x4_seq	twopop_uniform_gen400_x4	1	0.0	5000000	44936
twopop_uniform_gen400_x4_arr	twopop_uniform_gen400_x4	1	0.05	5000000	98190
twopop_variable_gen800_x1_seq	twopop_variable_gen800_x1	1	0.0	5000000	78892
twopop_variable_gen800_x1_arr	twopop_variable_gen800_x1	1	0.05	5000000	77864
twopop_uniform_gen800_x1_seq	twopop_uniform_gen800_x1	1	0.0	5000000	56815
twopop_uniform_gen800_x1_arr	twopop_uniform_gen800_x1	1	0.05	5000000	79420
twopop_variable_gen800_x2_seq	twopop_variable_gen800_x2	1	0.0	5000000	43406
twopop_variable_gen800_x2_arr	twopop_variable_gen800_x2	1	0.05	5000000	16623
twopop_uniform_gen800_x2_seq	twopop_uniform_gen800_x2	1	0.0	5000000	34726
twopop_uniform_gen800_x2_arr	twopop_uniform_gen800_x2	1	0.05	5000000	3476
twopop_variable_gen800_x3_seq	twopop_variable_gen800_x3	1	0.0	5000000	36623
twopop_variable_gen800_x3_arr	twopop_variable_gen800_x3	1	0.05	5000000	38093
twopop_uniform_gen800_x3_seq	twopop_uniform_gen800_x3	1	0.0	5000000	12765
twopop_uniform_gen800_x3_arr	twopop_uniform_gen800_x3	1	0.05	5000000	60234
twopop_variable_gen800_x4_seq	twopop_variable_gen800_x4	1	0.0	5000000	71681
twopop_variable_gen800_x4_arr	twopop_variable_gen800_x4	1	0.05	5000000	26355
twopop_uniform_gen800_x4_seq	twopop_uniform_gen800_x4	1	0.0	5000000	99545
twopop_uniform_gen800_x4_arr	twopop_uniform_gen800_x4	1	0.05	5000000	57408
twopop_variable_gen1600_x1_seq	twopop_variable_gen1600_x1	1	0.0	5000000	65378
twopop_variable_gen1600_x1_arr	twopop_variable_gen1600_x1	1	0.05	5000000	11806
twopop_uniform_gen1600_x1_seq	twopop_uniform_gen1600_x1	1	0.0	5000000	56471
twopop_uniform_gen1600_x1_arr	twopop_uniform_gen1600_x1	1	0.05	5000000	2279
twopop_variable_gen1600_x2_seq	twopop_variable_gen1600_x2	1	0.0	5000000	27639
twopop_variable_gen1600_x2_arr	twopop_variable_gen1600_x2	1	0.05	5000000	56487
twopop_uniform_gen1600_x2_seq	twopop_uniform_gen1600_x2	1	0.0	5000000	12628
twopop_uniform_gen1600_x2_arr	twopop_uniform_gen1600_x2	1	0.05	5000000	63414
twopop_variable_gen1600_x3_seq	twopop_variable_gen1600_x3	1	0.0	5000000	13973
twopop_variable_gen1600_x3_arr	twopop_variable_gen1600_x3	1	0.05	5000000	49547
twopop_uniform_gen1600_x3_seq	twopop_uniform_gen1600_x3	1	0.0	5000000	28124
twopop_uniform_gen1600_x3_arr	twopop_uniform_gen1600_x3	1	0.05	5000000	69605
twopop_variable_gen1600_x4_seq	twopop_variable_gen1600_x4	1	0.0	5000000	66774
twopop_variable_gen1600_x4_arr	twopop_variable_gen1600_x4	1	0.05	5000000	72201
twopop_uniform_gen1600_x4_seq	twopop_uniform_gen1600_x4	1	0.0	5000000	46170
twopop_uniform_gen1600_x4_arr	twopop_uniform_gen1600_x4	1	0.05	5000000	47066
twopop_variable_gen3200_x1_seq	twopop_variable_gen3200_x1	1	0.0	5000000	10617
twopop_variable_gen3200_x1_arr	twopop_variable_gen3200_x1	1	0.05	5000000	76427
twopop_uniform_gen3200_x1_seq	twopop_uniform_gen3200_x1	1	0.0	5000000	71673
twopop_uniform_gen3200_x1_arr	twopop_uniform_gen3200_x1	1	0.05	5000000	99186
twopop_variable_gen3200_x2_seq	twopop_variable_gen3200_x2	1	0.0	5000000	55669
twopop_variable_gen3200_x2_arr	twopop_variable_gen3200_x2	1	0.05	5000000	15232
twopop_uniform_gen3200_x2_seq	twopop_uniform_gen3200_x2	1	0.0	5000000	23875
twopop_uniform_gen3200_x2_arr	twopop_uniform_gen3200_x2	1	0.05	5000000	81355
twopop_variable_gen3200_x3_seq	twopop_variable_gen3200_x3	1	0.0	5000000	36176
twopop_variable_gen3200_x3_arr	twopop_variable_gen3200_x3	1	0.05	5000000	3731
twopop_uniform_gen3200_x3_seq	twopop_uniform_gen3200_x3	1	0.0	5000000	26589
twopop_uniform_gen3200_x3_arr	twopop_uniform_gen3200_x3	1	0.05	5000000	41776
twopop_variable_gen3200_x4_seq	twopop_variable_gen3200_x4	1	0.0	5000000	55873
twopop_variable_gen3200_x4_arr	twopop_variable_gen3200_x4	1	0.05	5000000	69644
twopop_uniform_gen3200_x4_seq	twopop_uniform_gen3200_x4	1	0.0	5000000	90020
twopop_uniform_gen3200_x4_arr	twopop_uniform_gen3200_x4	1	0.05	5000000	45737
