sim_name	model_name	sim_seed	slim_script_path	rec_map_path	ancestral_Ne	mutation_rate	chr	admixture_time	size_A	size_B	size_admixed	time_split
threepop_LARGE_rep1	AmericanAdmixture_LARGE	301	workflow/scripts/sim/SLiM/AmericanAdmixture_4B11.LARGE.v2.slim	workflow/scripts/sim/rec_maps/original_map.txt	7310	1.44E-08	chr22	20	1	1	1	1
threepop_LARGE_rep2	AmericanAdmixture_LARGE	302	workflow/scripts/sim/SLiM/AmericanAdmixture_4B11.LARGE.v2.slim	workflow/scripts/sim/rec_maps/original_map.txt	7310	1.44E-08	chr22	20	1	1	1	1
threepop_LARGE_rep3	AmericanAdmixture_LARGE	303	workflow/scripts/sim/SLiM/AmericanAdmixture_4B11.LARGE.v2.slim	workflow/scripts/sim/rec_maps/original_map.txt	7310	1.44E-08	chr22	20	1	1	1	1
threepop_LARGE_rep4	AmericanAdmixture_LARGE	304	workflow/scripts/sim/SLiM/AmericanAdmixture_4B11.LARGE.v2.slim	workflow/scripts/sim/rec_maps/original_map.txt	7310	1.44E-08	chr22	20	1	1	1	1
